"Name","dataset_limit_train","test.L1_central","_wandb"
"crisp-sweep-12","2530","0.07619020943919187",""
"cosmic-sweep-11","15036","0.06985124617657333",""
"colorful-sweep-10","10211","0.06984653628061688",""
"fancy-sweep-9","6476","0.07140557436085251",""
"fluent-sweep-8","21442","0.06887549009272662",""
"laced-sweep-7","86","0.17783566295785247",""
"celestial-sweep-6","27026","0.06772536907877241",""
"grateful-sweep-5","32224","0.06765343572727586",""
"woven-sweep-4","30047","0.06740106331608282",""
"woven-sweep-3","33044","0.0673330608562187",""
"logical-sweep-1","13830","0.06921017426662344",""
"fresh-valley","33075","0.06655",""
