"Name","dataset_limit_responses","test.L1_central","_wandb"
"dashing-sweep-30","16063","0.06803160536226141",""
"eternal-sweep-29","19683","0.06754322965309102",""
"toasty-sweep-28","21544","0.06732146823216999",""
"prime-sweep-27","6060","0.06933559801212694",""
"resilient-sweep-26","4541","0.07051216196130823",""
"usual-sweep-25","27091","0.06624572544501572",""
"rural-sweep-24","14659","0.06756528470882033",""
"whole-sweep-24","27591","0.06733758383957797",""
"comfy-sweep-23","12442","0.06812453870420103",""
"polished-sweep-22","29458","0.06687767160001885",""
"devout-sweep-21","11174","0.06784073395703835",""
"sunny-sweep-20","1220","0.07360763347968853",""
"graceful-sweep-19","11901","0.06772070370023213",""
"jumping-sweep-17","14007","0.06810288878344985",""
"fluent-sweep-16","12547","0.06777997983195794",""
"still-sweep-15","12433","0.06723565482588673",""
"ethereal-sweep-14","10078","0.06762330751570444",""
"daily-sweep-13","13270","0.06798183297354078",""
"fearless-sweep-12","10757","0.06756708165325186",""
"sparkling-sweep-11","684","0.07593422410349367",""
"restful-sweep-10","18191","0.06732921201716024",""
"whole-sweep-9","23838","0.06621437804408806",""
"dauntless-sweep-8","26946","0.06734439660632421",""
"glowing-sweep-7","11548","0.06835284460158575",""
"electric-sweep-6","15239","0.06712393099668795",""
"vivid-sweep-5","14808","0.06731083478877153",""
"fast-sweep-4","27391","0.06727288922304829",""
"icy-sweep-3","7516","0.06953249045780727",""
"brisk-sweep-2","12618","0.06760421364395706",""
"fiery-sweep-8","19808","0.06734325752056465",""
